year,timestamp,vpn_endpoint,cards_found
1992,2025-08-31T21:34:27.549441,Unknown,437
1992,2025-08-31T21:34:29.323769,Unknown,10
1992,2025-08-31T21:34:31.294893,Unknown,2
1992,2025-08-31T21:34:33.002421,Unknown,1
1992,2025-08-31T21:34:52.223162,Unknown,0
1992,2025-09-01T00:40:57.896379,Unknown,0
1992,2025-09-01T00:40:59.644966,Unknown,0
1992,2025-09-01T00:41:01.419355,Unknown,0
1992,2025-09-01T00:41:03.318474,Unknown,0
1992,2025-09-01T00:41:22.301646,Unknown,0
1993,2025-09-05T00:28:29.089832,Unknown,492
1993,2025-09-05T00:28:31.097003,Unknown,10
1993,2025-09-05T00:28:32.984245,Unknown,1
1993,2025-09-05T00:28:51.503432,Unknown,0
1993,2025-09-05T00:39:08.033649,Unknown,0
1993,2025-09-05T00:39:09.960995,Unknown,0
1993,2025-09-05T00:39:11.730523,Unknown,0
1993,2025-09-05T00:39:35.111580,Unknown,0
1991,2025-09-05T00:41:42.054562,Unknown,382
1991,2025-09-05T00:41:44.024290,Unknown,14
1991,2025-09-05T00:42:02.658906,Unknown,0
1990,2025-09-05T00:44:05.689403,Unknown,377
1990,2025-09-05T00:44:07.702523,Unknown,2
1990,2025-09-05T00:44:09.464065,Unknown,1
1990,2025-09-05T00:44:27.568622,Unknown,0
1990,2025-09-05T00:47:47.011005,Unknown,377
1990,2025-09-05T00:47:48.799635,Unknown,2
1990,2025-09-05T00:47:50.880062,Unknown,1
1990,2025-09-05T00:48:09.184187,Unknown,0
1980,2025-09-05T00:50:21.412040,Unknown,259
1980,2025-09-05T00:50:23.427573,Unknown,11
1980,2025-09-05T00:50:25.306570,Unknown,6
1980,2025-09-05T00:50:36.168369,Unknown,0
1980,2025-09-05T00:50:37.997532,Unknown,0
1980,2025-09-05T00:50:39.896030,Unknown,0
1981,2025-09-05T00:51:03.811617,Unknown,329
1981,2025-09-05T00:51:05.988053,Unknown,8
1981,2025-09-05T00:51:20.810198,Unknown,0
1981,2025-09-05T00:51:22.627064,Unknown,0
1982,2025-09-05T00:51:46.488829,Unknown,308
1982,2025-09-05T00:51:48.403768,Unknown,4
1982,2025-09-05T00:51:50.395257,Unknown,0
1982,2025-09-05T00:51:52.162795,Unknown,4
1982,2025-09-05T00:51:53.985930,Unknown,0
1982,2025-09-05T00:51:55.895246,Unknown,2
1982,2025-09-05T00:52:11.748308,Unknown,0
1982,2025-09-05T00:52:13.646456,Unknown,0
1982,2025-09-05T00:52:15.564803,Unknown,0
1982,2025-09-05T00:52:17.496968,Unknown,0
1982,2025-09-05T00:52:19.618378,Unknown,0
1982,2025-09-05T00:52:21.462578,Unknown,0
1983,2025-09-05T00:52:53.617667,Unknown,475
1983,2025-09-05T00:52:55.523474,Unknown,1
1983,2025-09-05T00:53:14.117987,Unknown,0
1983,2025-09-05T00:53:15.819520,Unknown,0
1984,2025-09-05T00:53:46.177928,Unknown,440
1984,2025-09-05T00:53:48.131913,Unknown,1
1984,2025-09-05T00:53:51.400518,Unknown,18
1984,2025-09-05T00:54:16.869157,Unknown,0
1984,2025-09-05T00:54:18.623092,Unknown,0
1984,2025-09-05T00:54:20.549001,Unknown,0
1985,2025-09-05T00:54:51.391751,Unknown,442
1985,2025-09-05T00:54:53.301066,Unknown,1
1985,2025-09-05T00:55:12.062466,Unknown,0
1985,2025-09-05T00:55:14.482097,Unknown,0
1986,2025-09-05T00:55:45.332526,Unknown,466
1986,2025-09-05T00:56:03.958600,Unknown,0
1987,2025-09-05T00:56:32.521309,Unknown,387
1987,2025-09-05T00:56:52.149522,Unknown,0
1988,2025-09-05T00:57:23.657567,Unknown,343
1988,2025-09-05T00:57:25.766887,Unknown,10
1988,2025-09-05T00:57:45.996265,Unknown,0
1989,2025-09-05T00:58:14.848957,Unknown,331
1989,2025-09-05T00:58:33.498921,Unknown,0
